subzone,sub_category,listing_type,average_price
SENOKO WEST,generic_office,rent,1000.00
KALLANG WAY,showroom,rent,14760.00
ALJUNIED,generic_office,rent,4302.20
BENCOOLEN,generic_office,sale,1100000.00
PASIR PANJANG 2,generic_office,rent,18142.12
RAFFLES PLACE,generic_office,rent,25721.43
GEYLANG EAST,retail_fnb,rent,8858.67
LORONG AH SOO,retail_shop,rent,1500.00
BOULEVARD,retail_fnb,rent,15102.67
TUAS BAY,factory,rent,73628.00
PENJURU CRESCENT,general_industrial,rent,28000.00
SUNGEI ROAD,retail_shop,sale,1200000.00
BEDOK SOUTH,retail_shop,sale,3200000.00
TELOK BLANGAH RISE,retail_shop,sale,1849999.00
TUAS BAY,warehouse,rent,639437.50
PEOPLE'S PARK,generic_retail,rent,2900.00
SENOKO WEST,warehouse,rent,2600.00
KAMPONG UBI,generic_office,rent,2807.00
CHENG SAN,retail_shop,sale,2750000.00
BUGIS,retail_shop,sale,1380000.00
KAKI BUKIT,factory,sale,800000.00
FERNVALE,generic_retail,rent,3000.00
TIONG BAHRU STATION,retail_shop,rent,4000.00
BALESTIER,general_industrial,sale,3561866.67
FARRER PARK,generic_office,rent,4500.00
ALJUNIED,retail_shop,sale,5623333.33
JOO SENG,retail_shop,rent,6500.00
YIO CHU KANG WEST,retail_shop,rent,2800.00
KAMPONG JAVA,retail_shop,rent,3000.00
KAKI BUKIT,general_industrial,sale,1790000.00
CLARKE QUAY,generic_office,sale,8313000.00
PEI CHUN,retail_shop,rent,2750.00
KAKI BUKIT,retail_shop,rent,4947.50
INSTITUTION HILL,generic_office,rent,7500.00
LORONG CHUAN,general_industrial,rent,28105.33
LOYANG WEST,factory,rent,8807.00
TUKANG,factory,rent,15000.00
MEI CHIN,retail_shop,rent,5000.00
SENOKO WEST,factory,rent,5200.00
NORTHLAND,factory,rent,32500.00
SENOKO WEST,general_industrial,rent,2566.67
WOODLANDS EAST,general_industrial,rent,4560.00
PANG SUA,factory,rent,2169.00
GALI BATU,general_industrial,rent,3650.00
SOMERSET,retail_shop,rent,5808.33
LOYANG WEST,general_industrial,rent,4979.50
TUAS VIEW,factory,sale,750000.00
SEMBAWANG NORTH,general_industrial,rent,3800.00
SEMBAWANG NORTH,factory,rent,13655.67
SEMBAWANG CENTRAL,general_industrial,rent,4000.00
BUKIT MERAH,factory,rent,6530.00
CENTRAL SUBZONE,retail_fnb,rent,50000.00
CLARKE QUAY,retail_fnb,rent,4140.67
CLARKE QUAY,generic_office,rent,3150.00
CLARKE QUAY,retail_shop,rent,3476.00
KIAN TECK,general_industrial,rent,13000.00
MARYMOUNT,warehouse,rent,30000.00
SENOKO NORTH,factory,sale,4600000.00
QUEENSWAY,retail_shop,rent,1800.00
JOO SENG,factory,sale,1688888.00
JURONG GATEWAY,generic_office,rent,5500.00
MOULMEIN,retail_medical_suite,rent,11200.00
SENOKO NORTH,factory,rent,120000.00
BOAT QUAY,retail_shop,rent,7934.67
BUGIS,retail_shop,rent,17500.00
MARYMOUNT,general_industrial,sale,2600000.00
ALJUNIED,generic_retail,rent,1200.00
SEMBAWANG CENTRAL,factory,rent,4170.00
JOO SENG,factory,rent,6328.57
ALJUNIED,general_industrial,rent,3699.67
GEYLANG EAST,retail_shop,sale,1480000.00
SOMERSET,retail_fnb,rent,7396.00
CHINATOWN,retail_fnb,rent,27045.29
KAKI BUKIT,generic_office,rent,1100.00
SERANGOON NORTH IND ESTATE,factory,rent,6386.50
FRANKEL,retail_fnb,rent,7579.00
MACPHERSON,retail_shop,rent,6165.00
SENOKO SOUTH,factory,rent,600.00
MOUNTBATTEN,dormitory,rent,650.00
LOYANG WEST,general_industrial,sale,1664444.00
BALESTIER,retail_shop,sale,4981500.00
BALESTIER,retail_mall_shop,sale,906000.00
KATONG,retail_shop,sale,590000.00
TUAS VIEW,warehouse,sale,730000.00
ALEXANDRA HILL,general_industrial,sale,2760000.00
BOULEVARD,retail_shop,sale,4666666.67
KAKI BUKIT,retail_shop,sale,5600000.00
JOO SENG,general_industrial,sale,2994500.00
TAI SENG,general_industrial,sale,2199999.00
SERANGOON NORTH,generic_office,sale,750000.00
CHATSWORTH,retail_shop,rent,30000.00
KAMPONG UBI,warehouse,sale,1250000.00
SELEGIE,generic_office,sale,2784000.00
PENJURU CRESCENT,warehouse,rent,108000.00
KAMPONG UBI,retail_shop,sale,2800000.00
NATURE RESERVE,retail_fnb,rent,12770.00
SOMERSET,retail_shop,sale,7500000.00
KEMBANGAN,general_industrial,rent,4000.00
MARYMOUNT,factory,rent,900.00
GUILIN,general_industrial,rent,1100.00
XILIN,retail_fnb,rent,16756.00
CHINA SQUARE,generic_office,rent,3013.67
LIU FANG,factory,rent,2900.00
SERANGOON NORTH,factory,rent,19362.50
SUNGEI ROAD,generic_office,rent,6400.00
BUKIT MERAH,general_industrial,rent,4933.33
ALEXANDRA NORTH,general_industrial,rent,19800.00
ANAK BUKIT,retail_mall_shop,rent,12000.00
BUKIT MERAH,showroom,rent,15000.00
BUGIS,generic_retail,sale,880000.00
TAI SENG,retail_shop,sale,2725000.00
CITY HALL,retail_mall_shop,sale,910000.00
CECIL,generic_office,sale,9870000.00
GALI BATU,factory,sale,2363386.00
ANAK BUKIT,generic_office,sale,2400000.00
KIAN TECK,general_industrial,sale,580000.00
MACPHERSON,retail_shop,sale,1880000.00
INSTITUTION HILL,retail_shop,rent,7000.00
LORONG CHUAN,generic_office,rent,10788.00
KENT RIDGE,generic_retail,sale,5498888.00
SERANGOON NORTH,general_industrial,rent,41780.40
XILIN,ebiz,rent,19421.00
LEONIE HILL,generic_retail,rent,9000.00
TRAFALGAR,retail_shop,rent,6851.00
BENDEMEER,generic_retail,rent,6000.00
SERANGOON NORTH,generic_office,rent,2600.00
GALI BATU,fnb,rent,5500.00
KRANJI,factory,rent,4490.00
LORONG AH SOO,generic_office,rent,1800.00
SERANGOON GARDEN,generic_retail,rent,11862.50
KALLANG BAHRU,factory,rent,6228.00
YISHUN EAST,retail_shop,rent,6500.00
MARITIME SQUARE,generic_office,rent,3950.00
CENTRAL SUBZONE,generic_office,rent,2358.00
SENOKO SOUTH,warehouse,rent,6200.00
PASIR PANJANG 1,retail_fnb,rent,4800.00
WOODLANDS REGIONAL CENTRE,warehouse,rent,11950.00
KAMPONG UBI,factory,rent,17200.00
CHANGI WEST,warehouse,rent,8277.50
MARINE PARADE,retail_shop,sale,2190375.00
VICTORIA,generic_office,sale,4487250.00
LAVENDER,generic_office,rent,4935.20
PULAU PUNGGOL TIMOR,dormitory,rent,650.00
CRAWFORD,retail_shop,sale,1475000.00
KAKI BUKIT,general_industrial,rent,485.00
CHONG BOON,warehouse,rent,9805.00
MARITIME SQUARE,generic_office,sale,758000.00
HOLLAND DRIVE,retail_shop,sale,19000000.00
