id,subzone,planning_area,population_chinese_male,population_chinese_female,population_malays_male,population_malays_female,population_indians_male,population_indians_female,population_others_male,population_others_female,subzone_size,population_density
934,PEI CHUN,TOA PAYOH,4650,5060,500,510,380,350,140,200,0.4114,11789.0
935,POTONG PASIR,TOA PAYOH,5060,5270,350,330,740,670,110,130,0.6391,8120.8
936,SENNETT,TOA PAYOH,1950,2150,30,40,140,140,40,50,0.8678,2304.7
937,TOA PAYOH CENTRAL,TOA PAYOH,11850,13540,1170,1210,940,1040,450,550,1.107,11201.4
938,TOA PAYOH WEST,TOA PAYOH,5090,6150,310,320,470,430,280,320,1.037,5217.0
939,WOODLEIGH,TOA PAYOH,1080,1130,10,10,60,60,50,50,0.8134,1389.2
941,TUAS BAY,TUAS,-,-,-,-,-,-,-,-,4.048,0.0
942,TUAS NORTH,TUAS,-,-,-,-,-,-,-,-,3.26,0.0
943,TUAS PROMENADE,TUAS,-,-,-,-,-,-,-,-,3.186,0.0
944,TUAS VIEW,TUAS,-,-,-,-,-,-,-,-,4.472,0.0
945,TUAS VIEW EXTENSION,TUAS,-,-,-,-,-,-,-,-,15.47,0.0
946,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,-,-,-,-,-,-,-,-,35.44,0.0
947,SEMAKAU,WESTERN ISLANDS,-,-,-,-,-,-,-,-,3.276,0.0
948,SUDONG,WESTERN ISLANDS,-,-,-,-,-,-,-,-,3.781,0.0
949,WESTERN WATER CATCHMENT,WESTERN WATER CATCHMENT,320,410,-,-,40,50,30,40,69.63,5.2
950,GREENWOOD PARK,WOODLANDS,-,-,-,-,-,-,-,-,1.281,0.0
951,MIDVIEW,WOODLANDS,10550,10580,4810,4870,2060,1860,360,430,0.9364,11725.8
952,NORTH COAST,WOODLANDS,4180,3960,2130,2110,1000,940,130,140,2.407,1794.8
953,SENOKO WEST,WOODLANDS,-,-,-,-,-,-,-,-,0.9059,0.0
739,CLIFFORD PIER,DOWNTOWN CORE,-,-,-,-,-,-,-,-,0.2618,0.0
740,MARINA CENTRE,DOWNTOWN CORE,-,-,-,-,-,-,-,-,0.8869,0.0
741,MAXWELL,DOWNTOWN CORE,-,-,-,-,-,-,-,-,0.06367,0.0
742,PHILLIP,DOWNTOWN CORE,-,-,-,-,-,-,-,-,0.03944,0.0
743,RAFFLES PLACE,DOWNTOWN CORE,-,-,-,-,-,-,-,-,0.1888,0.0
744,TANJONG PAGAR,DOWNTOWN CORE,160,170,-,-,50,20,80,50,0.1455,1443.3
