id,subzone,planning_area,region,latitude,longitude,original_type,rank,venue_name,venue_address,venue_id,avg_weekday_footfall,avg_weekend_footfall,created_at,updated_at,venue_type
4994,YISHUN CENTRAL,YISHUN,NORTH REGION,1.4299111,103.8356657,catering.fast_food,null,McDonald's,"McDonald's, 930 Yishun Avenue 2, Singapore 769098, Singapore",null,null,null,2025-04-12 16:27:15.591971,2025-04-12 16:27:15.591971,RESTAURANT
4995,SAUJANA,BUKIT PANJANG,WEST REGION,1.3850353,103.7664437,catering.fast_food,null,McDonald's,"McDonald's, 524A Jelapang Road, Singapore 671524, Singapore",null,null,null,2025-04-12 16:27:15.628921,2025-04-12 16:27:15.628921,RESTAURANT
4996,SAUJANA,BUKIT PANJANG,WEST REGION,1.3851579,103.7664108,catering.fast_food,null,Domino's,"Domino's, 524A Jelapang Road, Singapore 671524, Singapore",null,null,null,2025-04-12 16:27:15.662739,2025-04-12 16:27:15.662739,RESTAURANT
4997,WOODLANDS SOUTH,WOODLANDS,NORTH REGION,1.4308241,103.7934164,catering.fast_food,null,McDonald's,"McDonald's, Woodlands Avenue 4, Singapore 730530, Singapore",null,null,null,2025-04-12 16:27:15.704774,2025-04-12 16:27:15.704774,RESTAURANT
4998,HOLLAND ROAD,BUKIT TIMAH,CENTRAL REGION,1.3368484,103.7790314,catering.fast_food,null,Canadian 2 For 1 Pizza,"Canadian 2 For 1 Pizza, 9 King Albert Park, Singapore 598332, Singapore",null,null,null,2025-04-12 16:27:15.740847,2025-04-12 16:27:15.740847,RESTAURANT
4999,HOLLAND ROAD,BUKIT TIMAH,CENTRAL REGION,1.3368391,103.7795211,catering.fast_food,null,Hei Sushi,"Hei Sushi, 9 King Albert Park, Singapore 598332, Singapore",null,null,null,2025-04-12 16:27:15.78029,2025-04-12 16:27:15.78029,RESTAURANT
5000,HOLLAND ROAD,BUKIT TIMAH,CENTRAL REGION,1.3369093,103.7795712,catering.fast_food,null,4 Fingers,"4 Fingers, 9 King Albert Park, Singapore 598332, Singapore",null,null,null,2025-04-12 16:27:15.821273,2025-04-12 16:27:15.821273,RESTAURANT
5001,SEMBAWANG EAST,SEMBAWANG,NORTH REGION,1.4435294,103.8302583,catering.fast_food,null,KFC,"KFC, 133 Canberra View, Singapore 750133, Singapore",null,null,null,2025-04-12 16:27:15.855051,2025-04-12 16:27:15.855051,RESTAURANT
5003,WOODGROVE,WOODLANDS,NORTH REGION,1.4324347,103.7857766,catering.fast_food,null,Ivan’s Carbina,"Ivan’s Carbina, 61 Woodlands Avenue 1, Singapore 739067, Singapore",null,null,null,2025-04-12 16:27:15.924715,2025-04-12 16:27:15.924715,RESTAURANT
2647,JELEBU,BUKIT PANJANG,WEST REGION,1.378108,103.7627624,commercial.food_and_drink,null,The French American Bakery,"The French American Bakery, 17 Petir Road, Singapore 678205, Singapore",null,null,null,2025-04-12 16:24:35.146264,2025-04-12 16:24:35.146264,RESTAURANT
5005,YISHUN SOUTH,YISHUN,NORTH REGION,1.4181979,103.8413157,catering.fast_food,null,肯德基,"KFC, 598 Yishun Ring Road, Singapore 768698, Singapore",null,null,null,2025-04-12 16:27:16.007416,2025-04-12 16:27:16.007416,RESTAURANT
5006,YISHUN SOUTH,YISHUN,NORTH REGION,1.4181336,103.841254,catering.fast_food,null,Long John Silver's,"Long John Silver's, 598 Yishun Ring Road, Singapore 768698, Singapore",null,null,null,2025-04-12 16:27:16.04384,2025-04-12 16:27:16.04384,RESTAURANT
5007,SEMBAWANG CENTRAL,SEMBAWANG,NORTH REGION,1.4490202,103.8198397,catering.fast_food,null,Yammi Taiwan Snacks,"Yammi Taiwan Snacks, 11 Canberra Road, Singapore 759775, Singapore",null,null,null,2025-04-12 16:27:16.085653,2025-04-12 16:27:16.085653,RESTAURANT
5008,SENJA,BUKIT PANJANG,WEST REGION,1.3871893,103.7623795,catering.fast_food,null,McDonald's,"McDonald's, 642 Senja Close, Singapore 677632, Singapore",null,null,null,2025-04-12 16:27:16.129124,2025-04-12 16:27:16.129124,RESTAURANT
5009,YISHUN CENTRAL,YISHUN,NORTH REGION,1.4263487,103.8363068,catering.fast_food,null,Burger King,"Burger King, 3 Northpoint Drive, Singapore 768020, Singapore",null,null,null,2025-04-12 16:27:16.165139,2025-04-12 16:27:16.165139,RESTAURANT
5010,WOODGROVE,WOODLANDS,NORTH REGION,1.4293886,103.7811014,catering.fast_food,null,KFC,"KFC, 30 Woodlands Avenue 1, Singapore 739065, Singapore",null,null,null,2025-04-12 16:27:16.23043,2025-04-12 16:27:16.23043,RESTAURANT
5011,WOODGROVE,WOODLANDS,NORTH REGION,1.4294771,103.7813106,catering.fast_food,null,McDonald's,"McDonald's, 30 Woodlands Avenue 1, Singapore 739065, Singapore",null,null,null,2025-04-12 16:27:16.262485,2025-04-12 16:27:16.262485,RESTAURANT
5012,WOODGROVE,WOODLANDS,NORTH REGION,1.4290547,103.7810447,catering.fast_food,null,Subway,"Subway, 30 Woodlands Avenue 1, Singapore 739065, Singapore",null,null,null,2025-04-12 16:27:16.302531,2025-04-12 16:27:16.302531,RESTAURANT
5015,YISHUN SOUTH,YISHUN,NORTH REGION,1.4166516,103.8343834,catering.fast_food,null,McDonald's,"McDonald's, Yishun Ring Road, Singapore 769567, Singapore",null,null,null,2025-04-12 16:27:16.406951,2025-04-12 16:27:16.406951,RESTAURANT
5016,YISHUN EAST,YISHUN,NORTH REGION,1.4284134,103.849813,catering.fast_food,null,McDonald's,"McDonald's, 461 Yishun Avenue 6, Singapore 760461, Singapore",null,null,null,2025-04-12 16:27:16.448486,2025-04-12 16:27:16.448486,RESTAURANT
5017,KHATIB,YISHUN,NORTH REGION,1.4144554,103.8311671,catering.fast_food,null,Burger King,"Burger King, 2 Yishun Walk, Singapore 767944, Singapore",null,null,null,2025-04-12 16:27:16.480829,2025-04-12 16:27:16.480829,RESTAURANT
