id,subzone,planning_area,hdb_2_room,hdb_3_room,hdb_4_room,hdb_5_room_ea,condominiums_and_apartments,landed_properties,other_types_properties
246,COMPASSVALE,SENGKANG,310,360,"12,710","1,800","3,320",-,20
247,FERNVALE,SENGKANG,"2,250","4,560","19,970","7,330",70,"1,060",360
248,LORONG HALUS NORTH,SENGKANG,-,-,-,-,-,-,-
249,RIVERVALE,SENGKANG,"1,740",680,"21,350","29,230","6,590",260,-
250,SENGKANG TOWN CENTRE,SENGKANG,160,790,"21,040","30,970","1,360",250,100
251,SENGKANG WEST,SENGKANG,-,-,-,-,-,-,-
252,LORONG CHUAN,SERANGOON,-,-,-,-,"3,970","4,260",170
253,SELETAR HILLS,SERANGOON,-,-,-,-,"1,540","11,970",60
254,SERANGOON CENTRAL,SERANGOON,-,"4,340","11,870","5,260","3,630","1,260",120
255,SERANGOON GARDEN,SERANGOON,690,"5,140","11,210","4,410","2,030","15,090",620
256,SERANGOON NORTH,SERANGOON,-,-,"7,000","10,470",-,-,10
257,SERANGOON NORTH IND ESTATE,SERANGOON,-,-,-,-,-,-,-
258,UPPER PAYA LEBAR,SERANGOON,360,"1,660","5,250","2,750","2,440","2,950",130
259,PULAU SELETAR,SIMPANG,-,-,-,-,-,-,-
260,SIMPANG NORTH,SIMPANG,-,-,-,-,-,-,-
261,SIMPANG SOUTH,SIMPANG,-,-,-,-,-,-,-
262,TANJONG IRAU,SIMPANG,-,-,-,-,-,-,-
263,BOAT QUAY,SINGAPORE RIVER,-,-,-,-,120,-,60
264,CLARKE QUAY,SINGAPORE RIVER,-,-,-,-,50,-,80
265,ROBERTSON QUAY,SINGAPORE RIVER,-,-,-,-,"2,390",-,30
266,SENTOSA,SOUTHERN ISLANDS,-,-,-,-,890,550,40
267,SOUTHERN GROUP,SOUTHERN ISLANDS,-,-,-,-,-,-,-
268,STRAITS VIEW,STRAITS VIEW,-,-,-,-,-,-,-
269,GALI BATU,SUNGEI KADUT,-,-,-,-,-,-,130
270,KRANJI,SUNGEI KADUT,-,-,-,-,-,-,-
271,PANG SUA,SUNGEI KADUT,-,-,-,-,-,-,-
272,RESERVOIR VIEW,SUNGEI KADUT,-,-,-,-,-,-,-
273,TURF CLUB,SUNGEI KADUT,-,-,-,-,-,660,-
274,SIMEI,TAMPINES,-,190,"12,820","12,640","12,660","4,120",280
275,TAMPINES EAST,TAMPINES,"3,680","25,250","54,780","50,320","3,940",-,530
276,TAMPINES NORTH,TAMPINES,-,-,-,-,-,-,-
277,TAMPINES WEST,TAMPINES,"1,150","9,840","35,740","25,440","5,560",-,390
278,XILIN,TAMPINES,-,-,-,-,"1,380",510,30
279,CHATSWORTH,TANGLIN,-,-,-,-,"4,600","1,000",140
280,NASSIM,TANGLIN,-,-,-,-,"6,700","1,530",110
281,RIDOUT,TANGLIN,-,-,-,-,580,790,40
282,TYERSALL,TANGLIN,-,40,210,270,"2,150",840,20
283,TENGAH,TENGAH,-,-,-,-,-,-,-
284,BIDADARI,TOA PAYOH,-,-,-,-,-,-,-
285,BOON TECK,TOA PAYOH,"5,530","4,210","1,320","3,760",-,-,300
286,BRADDELL,TOA PAYOH,"1,730","3,160","2,050","2,750","1,030",-,50
287,JOO SENG,TOA PAYOH,-,920,"1,810","2,020",380,"1,430",170
288,KIM KEAT,TOA PAYOH,60,"3,520","2,800","2,170",-,-,60
289,LORONG 8 TOA PAYOH,TOA PAYOH,500,"2,360","3,230","2,050",-,-,70
290,PEI CHUN,TOA PAYOH,500,"5,850","3,070","2,250",-,-,110
291,POTONG PASIR,TOA PAYOH,-,"5,440","4,080","1,190","1,780",60,110
292,SENNETT,TOA PAYOH,-,-,-,-,180,"4,130",230
293,TOA PAYOH CENTRAL,TOA PAYOH,"2,950","5,400","11,940","8,240","2,020",-,190
294,TOA PAYOH WEST,TOA PAYOH,240,"7,440",970,590,850,-,330
295,WOODLEIGH,TOA PAYOH,-,-,-,-,"2,120",250,70
296,TENGEH,TUAS,-,-,-,-,-,-,-
297,TUAS BAY,TUAS,-,-,-,-,-,-,-
298,TUAS NORTH,TUAS,-,-,-,-,-,-,-
299,TUAS PROMENADE,TUAS,-,-,-,-,-,-,-
300,TUAS VIEW,TUAS,-,-,-,-,-,-,-
301,TUAS VIEW EXTENSION,TUAS,-,-,-,-,-,-,-
302,JURONG ISLAND AND BUKOM,WESTERN ISLANDS,-,-,-,-,-,-,-
303,SEMAKAU,WESTERN ISLANDS,-,-,-,-,-,-,-
304,SUDONG,WESTERN ISLANDS,-,-,-,-,-,-,-
305,WESTERN WATER CATCHMENT,WESTERN WATER CATCHMENT,-,-,-,-,-,-,900
306,GREENWOOD PARK,WOODLANDS,-,-,-,-,-,-,-
307,MIDVIEW,WOODLANDS,960,"1,080","15,170","18,090",-,-,220
308,NORTH COAST,WOODLANDS,160,"5,940","6,100","2,350",-,-,50
309,SENOKO WEST,WOODLANDS,-,-,-,-,-,-,-
310,WOODGROVE,WOODLANDS,-,"1,900","13,900","14,540","4,570",610,330
311,WOODLANDS EAST,WOODLANDS,530,610,"47,490","42,690","4,170",-,20
312,WOODLANDS REGIONAL CENTRE,WOODLANDS,-,-,-,-,-,-,-
313,WOODLANDS SOUTH,WOODLANDS,"1,760",580,"13,010","19,090","1,330",-,60
314,WOODLANDS WEST,WOODLANDS,"3,660","8,930","11,210","8,820",-,-,270
315,KHATIB,YISHUN,-,"1,830","4,660","4,320",-,-,30
316,LOWER SELETAR,YISHUN,-,180,720,480,400,"1,100",-
317,NEE SOON,YISHUN,-,-,-,-,430,460,10
318,NORTHLAND,YISHUN,30,"7,260","16,730","6,260",-,-,100
319,SPRINGLEAF,YISHUN,-,-,-,-,100,"3,730",50
320,YISHUN CENTRAL,YISHUN,-,-,830,660,-,-,-
321,YISHUN EAST,YISHUN,"2,620","6,500","31,020","12,740","1,990",-,10
322,YISHUN SOUTH,YISHUN,-,"3,710","19,680","12,700","2,510",-,250
323,YISHUN WEST,YISHUN,"1,480","20,480","25,390","6,500","3,540",-,500
