subzone,planning_area,region,min_longitude,max_longitude,min_latitude,max_latitude
KAKI BUKIT,BEDOK,EAST REGION,103.896176177952,103.919542600287,1.32609083589147,1.34524273329796
YUHUA EAST,JURONG EAST,WEST REGION,103.73405550348,103.745296087219,1.33328153387877,1.34600303693591
BUKIT BATOK SOUTH,BUKIT BATOK,WEST REGION,103.745296087219,103.767134678923,1.33245311580807,1.34671264403441
JURONG WEST CENTRAL,JURONG WEST,WEST REGION,103.694989632961,103.709398655417,1.33482764644405,1.34717402917043
BEDOK RESERVOIR,BEDOK,EAST REGION,103.917955386031,103.940335295665,1.33243324369505,1.34858506539201
LOWER SELETAR,YISHUN,NORTH REGION,103.82744830649,103.867421871155,1.39420213032305,1.42763194965809
NORTHSHORE,PUNGGOL,NORTH-EAST REGION,103.897324798551,103.914583043808,1.40950361674181,1.42150795555331
MANDAI ESTATE,MANDAI,NORTH REGION,103.823119515365,103.826853695262,1.42383920333214,1.42914950985009
YISHUN CENTRAL,YISHUN,NORTH REGION,103.835013861146,103.840797586432,1.42290340116088,1.43040548821269
PASIR RIS CENTRAL,PASIR RIS,EAST REGION,103.938434448515,103.954099318824,1.36555847229589,1.37921057576304
GOMBAK,BUKIT BATOK,WEST REGION,103.748486119011,103.766787422876,1.35893061274931,1.37966946108759
PAYA LEBAR NORTH,PAYA LEBAR,EAST REGION,103.919442404871,103.931887654435,1.36610999204309,1.38016798727398
HOUGANG EAST,HOUGANG,NORTH-EAST REGION,103.892756794805,103.903596082644,1.3703768684191,1.38034417958432
LORONG HALUS,HOUGANG,NORTH-EAST REGION,103.895833221676,103.910045290765,1.36179870175916,1.38041414192465
KANGKAR,HOUGANG,NORTH-EAST REGION,103.890937572971,103.905203926362,1.36148615905214,1.3804342407435
CHANGI WEST,CHANGI,EAST REGION,103.96428702503,103.990923384372,1.3414435530668,1.38925599697994
HOLLAND DRIVE,QUEENSTOWN,CENTRAL REGION,103.791064205659,103.798741958186,1.30333575506505,1.31339074261398
HOUGANG WEST,HOUGANG,NORTH-EAST REGION,103.87635518151,103.892836121086,1.36782932653731,1.38211115126027
PAYA LEBAR WEST,PAYA LEBAR,EAST REGION,103.905208340306,103.919936249767,1.36306019608307,1.38236489930321
BANGKIT,BUKIT PANJANG,WEST REGION,103.770010611102,103.778374567066,1.36997110874461,1.38450473909702
LORONG HALUS NORTH,SENGKANG,NORTH-EAST REGION,103.904744466288,103.917498521266,1.37585613524189,1.38592636032701
PENG SIANG,CHOA CHU KANG,WEST REGION,103.732666672394,103.743334772583,1.37270292030272,1.38661265871603
PASIR RIS WEST,PASIR RIS,EAST REGION,103.931888570062,103.948714969438,1.3725045718715,1.38682456447349
YIO CHU KANG WEST,ANG MO KIO,NORTH-EAST REGION,103.834223276182,103.844729610929,1.37708001306484,1.38777513995931
CHANGI POINT,CHANGI,EAST REGION,103.973327332819,103.990518801292,1.38724316650097,1.39378077229945
SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,103.891340083815,103.903583417291,1.38295883145817,1.39998006491821
ANCHORVALE,SENGKANG,NORTH-EAST REGION,103.881451500961,103.895958160257,1.38657918926061,1.40120639355032
SENGKANG WEST,SENGKANG,NORTH-EAST REGION,103.852388191451,103.869173271934,1.38820877424031,1.40123180011301
