subzone,planning_area,region,venue_type,rank,venue_name,venue_address,venue_id,avg_weekday_footfall,avg_weekend_footfall
ANCHORVALE,SENGKANG,NORTH-EAST REGION,CAFE,1,Ya Kun Kaya Toast,1 Sengkang Square Unit #01- 37 Singapore 545078,ven_4d627a6c7535484d35687352456a32573077686d58534e4a496843,34.25,42.4
ANCHORVALE,SENGKANG,NORTH-EAST REGION,CAFE,2,Starbucks Compass One,1 Sengkang Square #01- 06 Singapore 545078,ven_385250543975505858614d52456a32573051693931546c4a496843,34.46,37.4
ANCHORVALE,SENGKANG,NORTH-EAST REGION,CAFE,3,Chef-in-Box Vendcafé @ 320C Anchorvale,320C Anchorvale Dr #01-K1 Singapore 543320,ven_385f695842377a5569463752456a3257496873665354554a496843,46.29,52.4
ANCHORVALE,SENGKANG,NORTH-EAST REGION,CLUBS,0,No venues found,,,0,0
ANCHORVALE,SENGKANG,NORTH-EAST REGION,DOCTOR,1,Healthway Medical (Anchorvale),308 Anchorvale Rd #01-03 Singapore 540308,ven_596e4b3171626c5058385152456a325777324d726634694a496843,17.83,6.04
ANCHORVALE,SENGKANG,NORTH-EAST REGION,RESTAURANT,1,Swensen's @ Compass One,1 Sengkang Square #B1-16 Singapore 545078,ven_6b6b6e66376559724d6e5552456a32573041692d44344a4a496843,28.17,26.98
ANCHORVALE,SENGKANG,NORTH-EAST REGION,RESTAURANT,2,Jack's Place Compass One,1 Sengkang Square #04-07 Compass One Singapore 545078,ven_556d683753655a5576547852456a32573051693931546c4a496843,26.38,30.1
ANCHORVALE,SENGKANG,NORTH-EAST REGION,RESTAURANT,3,My Briyani House,1 Sengkang Square Singapore 545078,ven_677053307274395778316452456a3257495264626636644a496843,35.04,41.25
ANCHORVALE,SENGKANG,NORTH-EAST REGION,SHOPPING,0,No venues found,,,0,0
ANCHORVALE,SENGKANG,NORTH-EAST REGION,PERSONAL_CARE,1,Raffles Medical Compass One,"1 Sengkang Square 04-09,Compass One Mall Singapore 545078",ven_6b674f625937584977654652456a3257305168617562674a496843,28.17,22.92
ANCHORVALE,SENGKANG,NORTH-EAST REGION,PERSONAL_CARE,2,My Family Clinic (Anchorvale),Anchorvale Rd #01-260 326A Singapore 541326,ven_5973513265614e6a67705952456a32574d3370596b39754a496843,18.71,7.08
ANCHORVALE,SENGKANG,NORTH-EAST REGION,PERSONAL_CARE,3,AcuMed Medical (Sengkang),215C Compassvale Dr #01-02 Singapore 543215,ven_733879646376435578396452456a3257495234655137444a496843,17.29,5.42
ANCHORVALE,SENGKANG,NORTH-EAST REGION,SCHOOL,0,No venues found,,,0,0
ANCHORVALE,SENGKANG,NORTH-EAST REGION,VEHICLE,0,No venues found,,,0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,ARTS,0,No venues found,,,0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,APPAREL,0,No venues found,,,0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,CAFE,0,No venues found,,,0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,CLUBS,0,No venues found,,,0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,DOCTOR,0,No venues found,,,0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,RESTAURANT,0,No venues found,,,0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,SHOPPING,0,No venues found,,,0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,PERSONAL_CARE,0,No venues found,,,0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,SCHOOL,0,No venues found,,,0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,VEHICLE,0,No venues found,,,0,0
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,ARTS,0,No venues found,,,0,0
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,APPAREL,0,No venues found,,,0,0
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,CAFE,0,No venues found,,,0,0
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,CLUBS,0,No venues found,,,0,0
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,DOCTOR,0,No venues found,,,0,0
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,RESTAURANT,0,No venues found,,,0,0
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,SHOPPING,0,No venues found,,,0,0
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,PERSONAL_CARE,1,Raffles Medical,21 Choa Chu Kang Ave 4 #B1 - 07A Singapore 689812,ven_383734662d72463858735852456a32526b756c424335734a496843,30.88,26.25
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,PERSONAL_CARE,2,CCK Family Clinic,304 Choa Chu Kang Ave 4 #01-653 Singapore 680304,ven_4d54353152383067414e6952456a3252672d4d3258306e4a496843,35.75,33.02
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,PERSONAL_CARE,3,Choa Chu Kang Polyclinic (NUP),2 Teck Whye Cres Singapore 688846,ven_306a77506d635651714b5952456a325238626a786131574a496843,23.42,6.15
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,SCHOOL,0,No venues found,,,0,0
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,VEHICLE,0,No venues found,,,0,0
